BTTR,MULN,VIVK,LINK,ABVC,CODA,NCPL,TGTX,COSM,OPXS,SPCB,BLFS,RCAT,TOMZ,MARA,BBY,BVFL,NVO,RSG
0,1.333333333,0,0,0,-0.024390241,0,0.038461538,0,0,0,0.37499996,0,0,0,0.022199131,0,0.016792392,0.00392325
0,-0.5,0.016470595,0,0,-0.024999997,0,-0.074074074,0,0,0,-0.272727252,0,0,0,0.054545274,0,0.00772151,0.001970386
0,2.428571429,0,-0.095237836,0,0.025641023,-0.25,0,-0.4871795,0,0,0.124999987,0,-0.285714278,0,0.003831283,0,0.031145934,0.040913352
0,-0.666666667,0,0,0,0.249999973,0,0,0,-0.111111241,0,-0.111111101,0,0.199999955,0,0.059160721,0,0.014655174,-0.012094032
0,1.5,0,-0.052631797,0,0.070000037,0,0,0,0,0,-0.124999987,0,0,0,-0.020270069,0,0.009222092,-0.001530078
0,0,0.225694493,0,0,-0.018691587,0,0,0,0,0,0.428571376,0,0,0,-0.000459963,0,-0.009541051,-0.003065304
0,0,0,0,0,-0.047619082,0.333333333,0,0,0,0,-0.199999983,0,0.166666698,0,-0.006899617,0,-0.004070105,-0.00653358
0,0,0,0,0,0.000999996,-0.25,0,0,0,0,0.249999973,0,-0.142857166,0,-0.018990333,0,0.003677961,0.004642193
0,0,0,0.055555798,0,-0.000998997,2.333333333,0,0,-0.187500049,0,0.099999991,0,-0.166666636,0,-0.001888655,0,0.000271749,0.016172877
0,0,0,0,0,0.077000006,-0.5,0,0,0,0,-0.090909084,0,0,0,-0.083727459,0,-0.008413217,0.003409902
0,0,0,-0.105263688,0,-0.001857002,1,0,0,-0.07692294,0,0.099999991,0,0,0,-0.018069244,0,-0.000752636,0.002643686
0,-0.35,0,0,0,-0.088372104,0,0,0.950000048,0,0,0.090909084,0,0,0,-0.001051702,0,0.004245495,0.01205304
0,0,0,0,0,0.020408161,0,0,0,-0.083333436,0,0,0,0,0,-0.005263187,0,0.007772987,-0.002977641
0,0,0,0,0,0.175000006,0,0,0,0,0,0.416666779,0,0.199999955,0.12222225,-0.004232722,-0.271428638,0.00629241,0.007839015
0,0,0,0.000588508,0,-0.021276576,0,-0.04,0,0,-0.2,-0.117647141,0,0,0,0.001594251,0,-0.008269997,0.007036529
0,0,-0.905571292,0,0,0.034782605,0,0.041666667,0,0,0,-0.066666606,-0.25,0.166666698,0,-0.004774475,0,0.005966096,0.012137284
0,0,9.62499971,0.005291043,0,-0.042016838,0,0,0,0,0.666666667,-0.071428563,0,0,0,-0.028251943,0,-0.009233112,-0.01090131
0,0,0,0,0,-0.035087717,0,0,0,0,0,0.076923067,0,0,0,0.024684897,0.274509867,-0.01346843,-0.003673732
0,-0.230769231,-0.898039221,-0.005848261,0,0,1,0,0,-0.090909117,0,-0.214285749,-0.333333333,0,0,-0.031049443,0.153846097,-0.005930006,-0.000737173
0,0,0,0,0,-0.045454503,0,0,0,0,0,-0.090909084,0,0.285714331,0,-0.041988753,0,0.013317718,0.000737717
0,0,0,-0.058822966,0,-0.038095233,0,0,0,0,0,-0.099999991,0,0.666666667,0,-0.006343697,0,0.024642206,0.003687278
0,0,0,0,0,-0.039603955,0,0,0,0,0,0,0,0.2,0,0.030760167,0,0.027456822,0.034900933
0,0.6,8.076923312,0,0,0.010309233,0,0,0,0,0,0,0.5,0.27777775,0,0.016891772,0,-0.002665536,0.013844295
0,0,0,0,0,-0.132653006,0,0,0,0,0,0.555555598,0,0.043478219,0,0.001661271,0.04,0.007497207,0.012955411
0,0,0,0,0,0.05647054,0,0,0,0,-0.2,-0.285714312,0,0.291666705,0,-0.001105631,0,-0.006859195,-0.01037033
0,0,0,0,0,-0.120267305,0,-0.295999985,0,0,0,0,-0.666666667,-0.258064508,0,-0.037631459,0,-0.009642666,-0.011526315
0,0,0,0,0,0.012658281,0,0,0,1.400000337,0,0,0,-0.043478283,0,0.014376121,0,0.027762762,0.015194677
0,0,0,0,0,0,1.5,0,0,-0.208333458,0,0.30000006,1,-0.090909072,0,0.133220007,0,0.005953152,0.006961459
0,0,0,0,0,-0.037500049,0,0,0,-0.315789468,0,0.076923067,0,-0.249999981,0,-0.004502194,0,-0.014572066,-0.003111265
0,-0.375,0,0,0,0.006493589,0,-0.204545472,0,0.076923183,0,-0.285714312,0,0,0,-0.002010263,0,-0.002905752,-0.002080207
0,0,0,0,0,0.095483781,-0.62,0.071428571,0,0.357142712,0,0.400000051,0,0,0,-0.033735779,0,0.00777151,0.000347452
