BTTR,MULN,VIVK,ABVC,CODA,SPCB,LINK,QUBT,BLFS,HROW,BTCS,AYTU,MIGI,OGEN,IOVA,NTRP,TILE,CDE,ESSA,PETS
0,0,0,0,0.166666726,-0.533333333,0,0,-0.199999983,0.123595554,0,0,0,0,-0.074766355,0,-0.034910948,0.027207622,0.035533205,0.003863843
0,0,0,0,0,0,0,0,0,0.010000038,0,0,0,-0.21875,0.01010101,0,0.113344051,0.003717468,-0.019608224,0.028483313
0,0,0,0.024691342,0,0.142857143,0,0.100000024,0,-0.009901027,0,0,0,0.28,-0.15,0,0.041155126,0.00972218,-0.009999778,0.007485066
0,-0.56,0,0,-0.178571437,0,0,0,0,-0.15,0,0,-0.129230751,0,0.164705882,0,-0.018030434,-0.011921148,-0.015151751,0.000742894
0,0.272727273,0.005454547,0.80722887,0.043478219,0,0,0,0,-0.105882364,-0.200000021,0,0.095406337,-0.28125,-0.191919192,0,-0.00635583,0.004640389,-0.008205118,-0.02895311
0,0,0,0,0.166666726,0.625,0,0,0.249999973,-0.31578949,-0.374999983,0,0,0,0,0,-0.006396858,-0.031408791,0.013443981,0.000764262
0,0,0,-0.333333318,0,-0.153846154,0,0,0.099999991,0.038461595,0,0,0,0,0.125,0.149425313,-0.007152895,-0.044348995,0.012244818,-0.003055676
0,0,0,0,-0.214285749,0,0,0,-0.272727252,0,0,0,0,0,0,0,-0.030259534,-0.011477118,-0.008064565,0.054406128
0,0,0,0,0.090909084,0,0,0,0,0,0,0,0,0,0,-0.119999981,0,-0.040383607,0.003048669,-0.195493819
0,0.142857143,0,0,0.166666726,0,0,0,0,0.129629592,1.199999915,0,0,0.043478261,0.055555556,0,-0.010401066,-0.028932201,0.02330268,0.003612943
0,0,0,0,0,0,0,0,0,0,-0.545454528,0,0,0,-0.105263158,0,0.014285606,-0.007042208,0.009901545,0.0279028
0,0,0,0,0,0.363636364,0,0,0,0,0,0,0,0,0,0.079545431,0.006671686,0.013638843,-0.001960987,0.004436388
0,0,0,0,0,0.066666667,0,0,-0.124999987,0,0,0,0,0,0,-0.010526356,0.005890886,-0.015608128,0.00687641,0.022084883
0,0,0,0,0,0,0,0.090909111,0,0.065573787,0.200000021,0,0,0.083333333,-0.082352941,0,-0.030014512,-0.041552772,0,-0.014693115
2,-0.125,0,0,-0.142857186,0,0,0.083333251,0,0,0,0,-0.067741974,0.223076923,0,-0.148936136,0.024150807,-0.047347398,0,-0.002631455
0,0,0,0,0,0,-0.069767459,0.923076994,0,0.138461553,-0.333333363,0,0.034602078,0,0.025641026,-0.012499988,-0.036108959,-0.008982127,0,0.00439743
0,0,0,0,0,0,0,0,0,-0.162162199,-0.249999967,0,0,0,-0.0625,0,-0.039755399,0.015105741,0.004878026,-0.018388527
0,0,0,0,-0.119999977,-0.4375,0.124999735,0,0,-0.016129017,0,0,0,0,-0.133333333,-0.26582277,0.008757989,-0.026785647,0.011649826,0.030329873
0,0,0,0,0.136363607,0.444444444,0,0,0.142857125,0.31147543,0,0,0,-0.025157233,0.307692308,0,0.019731619,0.056269117,-0.000959043,-0.00086566
0,0,0,0,0,0,0.111110802,0,0,-0.262499988,0.666666637,0,0,0,-0.352941176,0.32758613,-0.026315434,-0.026056789,0.000959964,-0.006065889
0,0,-0.005424957,0,0,0,0,0,0,0,-0.200000021,-0.714285706,0,0,0.636363636,0,0.003974338,0.029131973,0,0.008718123
0,0.142857143,0,0,0,0,0,0,0,0.101694897,0,0,-0.003344421,0,0,0.038961065,0.003958689,-0.014442519,-0.001919125,0.012100444
0,0,0,0,0,-0.230769231,0,0,0,0,0,0,0,0,-0.166666667,0,0,0.023446637,0.000961927,0.014517448
0,0,0,0,0,0,0.149999982,0.6,0,0,0,0,0,-0.148387097,0,0.024999976,0.013407049,-0.002863645,-0.005763824,-0.034511644
0,0,0,0,0,0.3,0,0,0,-0.076923077,0.250000033,0,0,0,-0.16,0,-0.016342572,-0.001723187,-0.003865251,-0.020052603
-0.333333333,-0.25,0,0,0,-0.538461538,0.021739582,0,0,0,0,0,0,0,0.19047619,-0.036585332,0.003955973,-0.027617927,-0.000969276,0.015124865
0,0,0,-0.399999959,-0.208333283,1.166666667,0,0,0.124999987,0,0,0,0,0,0,0,-0.04018936,0.085798864,-0.006796412,-0.02103403
0,0,0,0,0.263157815,0,-0.021277028,-0.125,-0.222222201,-0.016666651,0,0,0,0,0,0.037974647,-0.031198885,0.001634811,0.009775247,0.039391555
0,0,0,0,0,0,0,-0.428571429,0,0,-0.200000021,0,0,0,0,0,0.020339342,0.010337353,-0.002903941,0.012057676
-0.5,0,0,0,0,0,0,0,0.142857125,0,0,0,0,0.96969697,-0.24,-0.073170722,-0.002491781,0.02046317,0.00485423,0.023830037
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140350877,0.078947357,-0.009159062,-0.008443263,-0.005797354,-0.004156347
0,0,0,0,0,0.153846154,-0.108695187,0,0,0.016949136,0,0,0,0.153846154,0.015384615,0,0.021008636,0.001064319,0.017492896,0.001669639
0,-0.166666667,0,0,0,0,0,0,-0.124999987,0,0,0,0,-0.066666667,0.121212121,-0.146341444,-0.023868333,-0.024986673,-0.005730451,-0.021666828
0,0,0,0,-0.001666659,0,0,0,0,0,0,0,0,-0.017857143,-0.216216216,-0.04285717,0.003372474,0.031624859,-0.004802706,0.018739487
0,0.6,0,0,0,0,0,0.549999952,0,0,0,0,0,0.163636364,0.137931034,0,-0.036134332,-0.012156424,-0.000970628,-0.023411378
0,-0.125,0,0,0,0,0,0,0,0,0.250000033,2.499999893,0,-0.178125,0,0,0.017436726,0.012841079,0.005825593,-0.000856321
0,0,0,0,0.302170324,0,0,-0.35483869,0.571428502,0,0,0,0,0.140684411,0.136363636,0,-0.01199669,0.004226092,0.002895637,0.009426182
0,-0.285714286,0,0,0.125641023,0,0.07317073,0.75,0,-0.016666651,0,0,0,-0.066666667,-0.226666667,0,-0.026886169,-0.01157282,-0.002887277,0.001697634
0,0.2,0,0,0.013667463,-0.333333333,0,0,-0.272727252,0.016949136,0.200000021,0,0,-0.096428571,0.017241379,0.01492543,0.044563205,0.017562528,0.014478418,0.013559343
0,0,8.272726731,0,-0.101123629,0.5,0,0,0.124999987,0,1,0,0,0.035573123,-0.084745763,0,-0.006825967,-0.015167411,-0.003805787,0.001672085
