SPCB,COSM,OPXS,PED,GMGI,ABVC,OGEN,CPSS,IESC,BVFL,TOMZ,POAI,BYRN,WKHS,ARMP,VIVK,BTCS,MIGI,COCP,BKYI,BTTR,QUBT,TGTX,AYTU,HROW,LINK,FPAY,INTZ,BHRB,WFCF,CODA,TROO,APDN,GTIM,WSBF,MULN,AIRI,QRHC,ACAD,IOR,ASTH,RCAT,SNFCA,CDMO,RIME,MLSS,MCVT,AXDX,SLS,HOV,NCPL,PHIO,RCON,SLNH,NTRP,BLFS,VUZI,PHM,IBCP,NEPH
0,0,-0.172413698,0.272727329,-0.012658234,0,0,0.041666625,-0.003906246,0,0,-0.083333333,0.052631592,0,0.05,0,0,0,0,0.124999986,0,0,-0.097744338,0,0,0,0,0,-0.002917897,0.086956499,0,-0.098901133,-0.142857143,0,-0.004183882,0,0,0.578947388,-0.051282004,0.038167995,-0.100000024,-0.4,0,-0.031914865,0.090909078,0.666666637,0,0,-0.06547619,-0.05511811,0,0,0,0,0,-0.333333349,0,-0.030842443,0,-0.044444518
0,0,0.208333194,-0.285714332,0,0,-0.222222222,0.080000019,0.078431393,0,0,-0.022727273,0.5,-0.057142857,0,0,0,0,0,0,0,0.874999972,0.649999972,-0.740259727,0,0,0,-0.071428571,0,0,0.249999973,0,0,-0.080291981,0.012605006,0,0,0.033333302,0.060810833,0,0.333333422,0.666666667,-0.007518696,0.010989034,0,0,0.562500136,-0.024390259,-0.140127389,0.025,0,0,-0.039473681,-0.090909091,0.039215743,0,-0.125,0.040391488,0.006211685,0
-0.466666667,0,-0.137931075,0.500000114,0,0,0,0,-0.018181801,0,0,0,0,-0.151515152,0,0,0,0.046875,0,0,0,0,-0.06565655,0,0,0,0,-0.076923077,-0.002701565,0,0.76000002,0.158536581,0,0.087301599,-0.004149314,0,0,-0.419354836,0.019108261,0,0,0,-0.053030777,-0.021739077,-0.083333322,-0.036363709,0,0.008333365,-0.059259259,0.134146341,0,0,0.054794467,0,0.075471623,0.333333381,0.142857143,0.049411974,-0.018518212,0.151162805
1,0,-0.239999997,-0.133333354,0.025641038,0,0,0.044444401,-0.029629689,0.019230705,0,0,0,0.357142857,0.047619048,0,0,-0.002985111,0,-0.222222249,0,-0.033333302,-0.297297297,0,0,-0.034810915,0,0.083333333,0.003611845,-0.060000016,1.272727246,0,0.166666667,0,0.004166603,-0.28,0,0.722222215,0,-0.007352934,0,0,0.13600067,-0.244444433,0.181818228,-0.245282967,0.239999905,0.016528909,0.039370079,0.025089606,0,0,-0.025974002,0,-0.017543844,0.124999987,0.125,0.011211167,0.050314105,-0.020202055
0,0,-0.105263082,-0.230769271,0,0.124999965,0,0.156028393,-0.019083952,0,0,0.139534884,0,-0.092105263,-0.090909091,0,0,0,0,0.285714331,0,0,0,0,0,0,0,0,-0.003598846,-0.063829805,0.199999983,0,-0.142857143,0,0,0.388888889,0,0,0.068750008,0.0074074,0,0,-0.056338303,-0.073529492,0,0,-0.032258054,-0.081300812,-0.015151515,-0.003496503,0,0,-0.066666638,0,0.499999957,0,0,0.004434151,0.005988071,0
0,0,-0.117647088,0.300000068,-0.187499994,0,0,-0.042944818,0.077821032,0,0,0.224489796,0,-0.130434783,0.1,0,0,-0.251496979,0,-0.1111111,0,0,0,0,0,0,0,0,0.007674838,0,-0.083333327,0.03157898,0,0,0.024896427,0,0,0,0.192982407,0,0.083333251,0,0.059701802,0.015873049,0,0,0,-0.017699098,0.130769231,0.01754386,1.333333333,0,0,0,-0.059523755,0,-0.111111111,0.046357864,0.083333109,-0.020618483
0,0,0,0,0.076923113,0,0.214285714,-0.057692255,-0.054151659,0,0,0.283333333,-0.133333365,0.166666667,0.090909091,0,0,0,-0.046070515,0,0,0,-0.230769231,0,0,0.104918902,0,0,-0.000111928,0.068181838,-0.090909084,0,0,0,-0.008097569,0,0,0.193548439,-0.024509781,-0.007352934,0,0,0.014084315,-0.046875025,0,0.324999909,0.366666711,0.018018,0.047619048,-0.024137931,0,0,0.071428539,0.466666667,-0.164556984,0,-0.125,-0.014768235,-0.038461363,-0.021052667
0,0.274999976,-0.199999916,0,0.142857096,0,-0.264705882,-0.095238084,0.034351205,0.199999909,0,-0.344155844,0.038461595,0,0,0,0,0,0,-0.125000041,0,0,0,0,0,0.001483306,0,0,0,0.063829805,0.600000034,0,0,-0.094890507,0.061224333,0,0,0,-0.035175906,0,0,0,-0.083333242,-0.016393477,-0.076923124,0.037735928,0,-0.044247787,-0.058441558,0.042402827,0,0,0,0,0.121212152,0,0,0.028907989,0.045714307,-0.096774188
0,-0.019607825,0.083333172,0,0,0,0,0.150375881,0.047970433,0.097484374,0,-0.227722772,0,0,-0.083333333,0,0,0.335999952,0,0,0,0,0,0,1.589285758,0.037036672,0,0,0,0,-0.124999987,-0.010204072,0,0.024193525,0.015384745,0,0.022580643,0,-0.026041642,0,0.076923098,0,0.030302551,-0.033333328,0.083333389,0,0.121951175,-0.064814796,0.110344828,-0.013559322,0,0,0.119999992,0,-0.108108132,0.111111101,0,-0.033298954,0.021857853,0.047619066
0,0,0.153846204,0,0,0,0,0.045751669,0.049295813,0.404011404,0,-0.064102564,0,-0.114285714,-0.227272727,0,0,0,0,0.285714331,0,0,0,0,-0.896551724,0,0,0,0,0,-0.285714312,-0.020618598,0,-0.023622025,0.11742425,0,0,0,0,0,0,0,-0.044117003,0,0,-0.090909111,0.086956601,-0.118811952,-0.037267081,0,0,0,1.678571449,-0.090909091,0.196969729,0.099999991,0.142857143,-0.013993067,-0.010695193,0.034090846
