BTTR,MULN,VIVK,ABVC,CODA,LINK,QUBT,BLFS,HROW,FPAY,SPCB,AYTU,PED,AIRI,INTZ,ESSA,BTCS,MIGI,OGEN,QRHC,ACAD
0,0.428571429,0,0,-0.0012547,0.071428609,0,0,0.052631579,0,0,0,0,0,0,-0.007889315,0,0,0,0.083333251,-0.016853917
0,0,0,0,0.060301457,0,0,-0.071428563,0.010000038,0,0,0,0,-0.014778401,0,0.017892532,0,0,-0.06,-0.076923006,0.04000003
0,1.5,0,0,0,0,0,0.076923067,0.019801961,0,0,0,0,0,0,0.010742426,0,0,-0.008510638,0,-0.038461566
0,-0.2,0,3.850000004,-0.052132677,0,0,0,0.165048522,0,0.125,0,0.025,0,0,-0.010628253,-0.75,0,0.008583691,-0.041666725,0.097142833
0,-0.5,0,0,0,0.111110802,-0.333333333,0,0.25,0,0,0,0.019512208,0,0,-0.002929339,0,0,0,0,0.067708332
0,0.9,0,0.340206299,-0.202500021,-0.049999517,0,0,0,0,0,0,-0.043062213,0,0,0.003917611,0,0,0,0,0
0,0,0,0,0.018808829,-0.026316322,0,0,0.253333282,0,0,0,0,0,0,-0.00784326,0,-0.175862059,0,0,0.024390221
0,-0.052631579,0,0,0.461538467,0,0,0,-0.148936136,0,-0.055555556,0,0.025,-0.083333129,0,0.002964547,1,0,0,0.130434765,-0.0047619
0,-0.388888889,0,-0.692307719,0.157894671,-0.027026719,0,0,0.168750048,0,0,0,-0.014634171,0.103636223,0,0.00394089,0,0,0,-0.057692255,0.014354054
0,0,0,0,-0.05454545,0,0,0,-0.090909128,0,0,0,-0.009900965,-0.023064376,0,-0.016682919,0,0,-0.076595745,0,0.047169881
0,-0.090909091,0,-0.249999936,0.057692303,0,0,-0.071428563,0,0,0,0,0,0.0236089,0,0,2.500000199,0,0.138248848,0,-0.0045045
1,0.3,0,0,-0.136363587,0.1666666,0,0,0.029411765,0,0,0,-0.004999987,-0.003294874,0,0.000997886,-0.214285768,-0.828451882,0,0.040816287,0.104072405
0,0.153846154,0,0,-0.004210597,-0.095237836,0,0,0.057142857,0,0,0,0.005025113,0.004958489,0,-0.002991385,-0.090909056,4.780487552,-0.068825911,-0.098039218,0.131147511
0,0,0,0,-0.007399545,0,0.299999952,0.076923067,0,0,0,0,0,0,0,0.007000603,0.299999979,0,-0.043478261,-0.086956544,-0.050724676
-0.5,0.2,0.00172851,-0.166666723,-0.159744439,0,0,0,0,0,0,0,0,-0.019736734,0,-0.002979384,-0.384615391,0,0.018181818,0.07142862,0.026717624
0,0,-0.200000025,0,0,0,1.307692392,-0.214285749,0.005405426,0,-0.941176471,0,0,0,0,0.008963914,0.250000033,0,0,-0.044444402,-0.059479585
